epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100_inhabitants,vaccinated_second,vaccinated_second_per_100_inhabitants,vaccinated_single,vaccinated_single_per_100_inhabitants
107,2021-02-17,Brazil,AM,TOTAL,81,10181,1808,299495,10181,299495,245.64511,7226.15492,0.03399,254834,1279,730246,17619.22812,205098,4.94856,14232,0.34339,,
107,2021-02-17,Brazil,AP,TOTAL,4,1116,271,81211,1116,81211,131.95685,9602.46225,0.01374,59450,1595,140657,16631.41117,19314,2.28370,1118,0.13219,,
107,2021-02-17,Brazil,BA,TOTAL,64,10928,3733,639227,10928,639227,73.47511,4297.88374,0.01710,612703,144935,1978117,13299.99656,383670,2.57963,7582,0.05098,,
107,2021-02-17,Brazil,CE,TOTAL,0,10868,0,408555,10868,408555,119.00906,4473.84484,0.02660,308294,37544,1373571,15041.16588,245258,2.68568,21137,0.23146,,
107,2021-02-17,Brazil,DF,TOTAL,10,4718,583,286720,4718,286720,156.47034,9508.93917,0.01646,277179,47,782118,25938.58987,111670,3.70349,11170,0.37045,,
107,2021-02-17,Brazil,ES,TOTAL,33,6209,929,312614,6203,312501,154.50462,7779.08004,0.01986,294568,193075,939055,23367.42438,101713,2.53102,179,0.00445,,
107,2021-02-17,Brazil,GO,TOTAL,71,8133,1818,376313,8109,375124,115.88187,5361.84125,0.02161,360983,317051,787493,11220.47990,185670,2.64549,5649,0.08049,,
107,2021-02-17,Brazil,MA,TOTAL,12,4883,580,214058,4883,214058,69.01590,3025.47737,0.02281,199846,1563,522150,7380.02321,127747,1.80557,14844,0.20980,,
107,2021-02-17,Brazil,MG,TOTAL,206,17109,5159,816901,17109,816901,80.82181,3858.98751,0.02094,745436,2284178,2897457,13687.39953,422713,1.99687,133568,0.63097,,
107,2021-02-17,Brazil,MS,TOTAL,12,3178,833,173235,3166,172402,114.35826,6233.74857,0.01835,161611,1120,568284,20449.32936,99374,3.57591,28163,1.01343,,
107,2021-02-17,Brazil,MT,TOTAL,40,5544,1710,237239,5455,235874,159.10616,6808.47510,0.02337,223022,33588,899810,25823.46908,74984,2.15195,16792,0.48191,,
107,2021-02-17,Brazil,PA,TOTAL,13,8087,1134,351472,8074,350338,94.00357,4085.52267,0.02301,330162,1238,980727,11400.00453,125031,1.45336,10190,0.11845,,
107,2021-02-17,Brazil,PB,TOTAL,16,4288,1014,207411,4288,207411,106.71639,5161.88264,0.02067,155593,47948,631016,15704.23235,92269,2.29632,7253,0.18051,,
107,2021-02-17,Brazil,PE,TOTAL,33,10744,1927,284840,10744,284840,112.41938,2980.41105,0.03772,244942,2239,1169728,12239.39845,234010,2.44855,52376,0.54803,,
107,2021-02-17,Brazil,PI,TOTAL,12,3222,522,167624,3210,167102,98.43497,5121.06249,0.01922,163850,941,528053,16132.48944,62595,1.91233,1600,0.04888,,
107,2021-02-17,Brazil,PR,TOTAL,60,10902,4060,601554,10902,601554,95.34757,5261.11826,0.01812,441411,13360,2255694,19728.02591,267652,2.34085,25631,0.22417,,
107,2021-02-17,Brazil,RJ,TOTAL,71,31701,587,564513,31701,564513,183.61485,3269.70671,0.05616,530071,52017,2313502,13399.99790,405925,2.35115,29063,0.16834,,
107,2021-02-17,Brazil,RN,TOTAL,13,3459,380,158953,3424,157422,98.63544,4532.63938,0.02176,108220,72141,583672,16643.75439,76388,2.17825,8848,0.25231,,
107,2021-02-17,Brazil,RO,TOTAL,25,2586,1117,139250,2586,139250,145.50774,7835.24877,0.01857,118333,196966,390179,21954.39519,38478,2.16506,151,0.00850,,
107,2021-02-17,Brazil,RR,TOTAL,29,1024,326,78394,995,78068,169.04357,12941.40758,0.01306,74276,36964,177089,29234.13690,23272,3.84178,2495,0.41188,,
107,2021-02-17,Brazil,RS,TOTAL,72,11479,1922,590134,11479,590134,100.89443,5186.97023,0.01945,566445,1255,2442245,21466.06044,360476,3.16840,8993,0.07904,,
107,2021-02-17,Brazil,SC,TOTAL,26,6804,3529,622727,6804,622727,94.96443,8691.49234,0.01093,594250,108569,1531799,21379.54396,143754,2.00640,32727,0.45678,,
107,2021-02-17,Brazil,SE,TOTAL,7,2893,464,146558,2893,146558,125.85396,6375.70170,0.01974,135858,2993,304867,13262.60628,41038,1.78527,14535,0.63232,,
107,2021-02-17,Brazil,SP,TOTAL,258,56960,11302,1938712,56960,1938712,124.04438,4222.02124,0.02938,1716064,978315,8153498,17756.24317,1514743,3.29872,271874,0.59207,,
107,2021-02-17,Brazil,TO,TOTAL,3,1464,565,108397,1461,107832,93.07849,6891.68690,0.01351,98306,306,343112,21814.44573,29144,1.85292,295,0.01876,,
107,2021-02-17,Brazil,TOTAL,TOTAL,1189,242313,47225,9986325,242090,9978747,114.43045,4715.96532,0.02426,8942046,4549147,33875901,15997.63420,5482925,2.58927,723755,0.34179,,
107,2021-02-18,Brazil,AC,TOTAL,8,948,238,54130,948,54130,107.49091,6137.64053,0.01751,45883,10186,149611,16963.94859,14952,1.69536,967,0.10965,,
107,2021-02-18,Brazil,AL,TOTAL,10,2903,626,126952,2903,126952,86.98500,3803.96823,0.02287,121447,7734,303655,9098.66700,86687,2.59747,3572,0.10703,,
107,2021-02-18,Brazil,AM,TOTAL,105,10286,2141,301636,10286,301636,248.17853,7277.81254,0.03410,254834,1279,730246,17619.22812,209767,5.06122,16749,0.40412,,
107,2021-02-18,Brazil,AP,TOTAL,4,1120,259,81470,1120,81470,132.42982,9633.08664,0.01375,59450,1595,140657,16631.41117,19314,2.28370,1118,0.13219,,
107,2021-02-18,Brazil,BA,TOTAL,67,10995,4017,643244,10995,643244,73.92559,4324.89230,0.01709,615962,144935,1978117,13299.99656,398859,2.68175,22298,0.14992,,
